Time_ms,Voltage1,Voltage2,Sensor1_percent,Sensor2_percent,Difference,Motor
55817,1.845,2.053,61.49,55.45,6.04,1
55878,1.844,2.052,61.46,55.42,6.04,1
55939,1.845,2.053,61.49,55.45,6.04,1
56000,1.844,2.054,61.46,55.5,5.96,1
56061,1.845,2.053,61.51,55.45,6.07,1
56122,1.845,2.054,61.49,55.5,5.98,1
56183,1.844,2.053,61.46,55.48,5.98,1
56244,1.845,2.053,61.49,55.45,6.04,1
56305,1.844,2.051,61.46,55.39,6.07,1
56366,1.844,2.051,61.46,55.39,6.07,1
56427,1.845,2.053,61.49,55.45,6.04,1
56488,1.844,2.056,61.46,55.56,5.9,1
56549,1.845,2.053,61.49,55.45,6.04,1
56610,1.845,2.053,61.49,55.45,6.04,1
56671,1.845,2.053,61.49,55.45,6.04,1
56732,1.844,2.052,61.46,55.42,6.04,1
56793,1.844,2.054,61.46,55.5,5.96,1
56854,1.844,2.053,61.46,55.45,6.01,1
56915,1.845,2.054,61.49,55.5,5.98,1
56976,1.845,2.053,61.49,55.48,6.01,1
57037,1.845,2.055,61.51,55.53,5.98,1
57098,1.844,2.052,61.46,55.42,6.04,1
57159,1.845,2.053,61.49,55.45,6.04,1
57220,1.846,2.054,61.54,55.5,6.04,1
57281,1.844,2.056,61.46,55.56,5.9,1
57342,1.845,2.054,61.51,55.5,6.01,1
57403,1.845,2.053,61.49,55.45,6.04,1
57464,1.843,2.052,61.43,55.42,6.01,1
57525,1.845,2.053,61.49,55.45,6.04,1
57586,1.844,2.054,61.46,55.5,5.96,1
57647,1.844,2.052,61.46,55.42,6.04,1
57708,1.844,2.053,61.46,55.45,6.01,1
57769,1.845,2.053,61.49,55.45,6.04,1
57830,1.845,2.053,61.49,55.45,6.04,1
57891,1.844,2.056,61.46,55.56,5.9,1
57952,1.844,2.053,61.46,55.45,6.01,1
58013,1.844,2.051,61.46,55.39,6.07,1
58074,1.845,2.056,61.51,55.56,5.95,1
58135,1.844,2.057,61.46,55.62,5.84,1
58196,1.845,2.053,61.51,55.45,6.07,1
58257,1.845,2.053,61.49,55.48,6.01,1
58318,1.844,2.054,61.46,55.5,5.96,1
58379,1.845,2.052,61.51,55.42,6.1,1
58440,1.845,2.053,61.49,55.45,6.04,1
58501,1.844,2.054,61.46,55.5,5.96,1
58562,1.844,2.053,61.46,55.45,6.01,1
58623,1.845,2.054,61.49,55.5,5.98,1
58684,1.845,2.056,61.49,55.56,5.92,1
58745,1.844,2.054,61.46,55.5,5.96,1
58806,1.845,2.053,61.49,55.48,6.01,1
58867,1.845,2.054,61.49,55.5,5.98,1
58928,1.842,2.053,61.41,55.45,5.96,1
58989,1.844,2.053,61.46,55.45,6.01,1
59050,1.845,2.057,61.49,55.59,5.9,1
59111,1.844,2.052,61.46,55.42,6.04,1
59172,1.844,2.052,61.46,55.42,6.04,1
59233,1.844,2.053,61.46,55.45,6.01,1
59294,1.844,2.053,61.46,55.48,5.98,1
59355,1.844,2.053,61.46,55.45,6.01,1
59416,1.844,2.053,61.46,55.45,6.01,1
59477,1.844,2.054,61.46,55.5,5.96,1
59538,1.846,2.053,61.54,55.48,6.06,1
59599,1.846,2.055,61.54,55.53,6.01,1
59660,1.846,2.056,61.54,55.56,5.98,1
59721,1.845,2.052,61.51,55.42,6.1,1
59782,1.844,2.053,61.46,55.45,6.01,1
59843,1.846,2.051,61.54,55.39,6.15,1
59904,1.845,2.053,61.49,55.45,6.04,1
59965,1.845,2.053,61.49,55.48,6.01,1
60026,1.845,2.051,61.49,55.39,6.1,1
60087,1.845,2.053,61.51,55.45,6.07,1
60148,1.843,2.051,61.43,55.39,6.04,1
60209,1.845,2.053,61.51,55.45,6.07,1
60270,1.845,2.055,61.49,55.53,5.95,1
60331,1.844,2.054,61.46,55.5,5.96,1
60392,1.845,2.054,61.49,55.5,5.98,1
60453,1.845,2.05,61.49,55.36,6.13,1
60514,1.844,2.053,61.46,55.45,6.01,1
60575,1.843,2.053,61.43,55.45,5.99,1
60636,1.844,2.055,61.46,55.53,5.93,1
60697,1.844,2.053,61.46,55.45,6.01,1
60758,1.858,2.062,61.94,55.79,6.15,1
60819,1.883,2.086,62.78,56.63,6.15,1
60880,1.918,2.131,63.93,58.24,5.69,1
60941,1.955,2.194,65.17,60.48,4.68,1
61002,2.009,2.26,66.97,62.84,4.12,1
61063,2.062,2.313,68.74,64.74,4.0,1
61124,2.14,2.357,71.35,66.33,5.02,1
61185,2.204,2.366,73.47,66.64,6.82,1
61246,2.254,2.364,75.13,66.59,8.55,1
61306,2.31,2.364,77.01,66.59,10.43,1
61365,2.35,2.369,78.33,66.76,11.57,1
61425,2.383,2.381,79.43,67.16,12.27,0
61486,2.389,2.385,79.62,67.33,12.29,0
61547,2.393,2.385,79.78,67.31,12.48,0
61608,2.39,2.384,79.67,67.28,12.4,0
61669,2.391,2.384,79.7,67.28,12.42,0
61730,2.391,2.389,79.7,67.45,12.25,0
61791,2.39,2.385,79.67,67.31,12.37,0
61852,2.391,2.385,79.7,67.33,12.37,0
61913,2.39,2.383,79.67,67.25,12.43,0
61974,2.393,2.385,79.75,67.33,12.42,0
62035,2.39,2.384,79.67,67.28,12.4,0
62096,2.393,2.385,79.75,67.31,12.45,0
62157,2.395,2.384,79.83,67.28,12.56,0
62218,2.389,2.385,79.62,67.31,12.31,0
62279,2.393,2.383,79.75,67.25,12.51,0
62340,2.391,2.385,79.7,67.31,12.39,0
62401,2.389,2.385,79.65,67.33,12.31,0
62462,2.393,2.388,79.78,67.42,12.36,0
62523,2.389,2.385,79.65,67.33,12.31,0
62584,2.393,2.382,79.78,67.22,12.56,0
62645,2.393,2.386,79.75,67.36,12.39,0
62706,2.391,2.385,79.7,67.33,12.37,0
62767,2.383,2.375,79.43,66.96,12.47,0
62828,2.358,2.327,78.6,65.23,13.37,0
